,date,opponent_Aston Villa,opponent_Bournemouth,opponent_Brentford,opponent_Brighton and Hove Albion,opponent_Burnley,opponent_Cardiff City,opponent_Chelsea,opponent_Crystal Palace,opponent_Everton,opponent_Fulham,opponent_Huddersfield Town,opponent_Leeds United,opponent_Leicester City,opponent_Liverpool,opponent_Luton Town,opponent_Manchester City,opponent_Manchester United,opponent_Newcastle United,opponent_Norwich City,opponent_Nottingham Forest,opponent_Sheffield United,opponent_Southampton,opponent_Tottenham Hotspur,opponent_Watford,opponent_West Bromwich Albion,opponent_West Ham United,opponent_Wolverhampton Wanderers,team_Aston Villa,team_Bournemouth,team_Brentford,team_Brighton and Hove Albion,team_Burnley,team_Cardiff City,team_Chelsea,team_Crystal Palace,team_Everton,team_Fulham,team_Huddersfield Town,team_Leeds United,team_Leicester City,team_Liverpool,team_Luton Town,team_Manchester City,team_Manchester United,team_Newcastle United,team_Norwich City,team_Nottingham Forest,team_Sheffield United,team_Southampton,team_Tottenham Hotspur,team_Watford,team_West Bromwich Albion,team_West Ham United,team_Wolverhampton Wanderers,venue_code,target,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,day_code_1,day_code_2,day_code_3,day_code_4,day_code_5,day_code_6,gf,ga,xg,xga,poss,attendance,sh,sot,dist,fk,pk,pkatt
29,2021-02-13,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.0,0.0,0.3142857142857143,0.014285714285714285,0.625,,0.7222222222222222,0.6,0.37572254335260125,0.75,0.0,0.0
30,2021-02-22,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.1111111111111111,0.2222222222222222,0.3428571428571428,0.02857142857142857,0.875,,0.6944444444444444,0.3333333333333333,0.2658959537572254,0.0,0.0,0.0
31,2021-02-27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.0,0.1111111111111111,0.41428571428571426,0.11428571428571428,0.78125,,0.3611111111111111,0.4,0.39884393063583823,0.25,0.0,0.6666666666666666
32,2021-03-06,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.1111111111111111,0.2222222222222222,0.11428571428571428,0.12857142857142856,0.296875,,0.19444444444444442,0.13333333333333333,0.28034682080924855,0.0,0.0,0.0
33,2021-03-14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2222222222222222,0.1111111111111111,0.11428571428571428,0.0857142857142857,0.359375,,0.2222222222222222,0.4,0.3901734104046244,0.25,0.0,0.0
34,2021-03-20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.3333333333333333,0.0,0.12857142857142856,0.014285714285714285,0.734375,,0.3055555555555555,0.4,0.3005780346820809,0.0,0.0,0.0
35,2021-04-04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.1111111111111111,0.2222222222222222,0.1714285714285714,0.21428571428571427,0.390625,,0.1388888888888889,0.2,0.14450867052023122,0.0,0.0,0.0
36,2021-04-12,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.0,0.0,0.1714285714285714,0.05714285714285714,0.578125,,0.6388888888888888,0.2,0.3959537572254336,0.5,0.0,0.0
37,2021-04-20,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,True,True,False,False,False,False,False,0.0,0.0,0.07142857142857142,0.09999999999999999,0.28125,,0.3055555555555555,0.13333333333333333,0.5289017341040463,0.25,0.0,0.0
38,2021-04-24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.0,0.1111111111111111,0.2857142857142857,0.09999999999999999,0.78125,,0.4722222222222222,0.26666666666666666,0.32947976878612717,0.0,0.0,0.0
39,2021-05-01,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.2222222222222222,0.0,0.3285714285714285,0.0857142857142857,0.375,,0.4444444444444444,0.26666666666666666,0.3786127167630058,0.0,0.3333333333333333,0.3333333333333333
40,2021-05-09,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.1111111111111111,0.2222222222222222,0.04285714285714285,0.15714285714285714,0.328125,,0.1388888888888889,0.2,0.21676300578034688,0.0,0.0,0.0
41,2021-05-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,0,False,False,False,False,False,False,False,True,False,False,False,False,True,False,0.1111111111111111,0.1111111111111111,0.11428571428571428,0.24285714285714283,0.515625,,0.2777777777777778,0.13333333333333333,0.5346820809248556,0.0,0.0,0.0
42,2021-05-18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,1,False,False,False,False,False,False,True,False,True,False,False,False,False,False,0.3333333333333333,0.2222222222222222,0.15714285714285714,0.12857142857142856,0.703125,0.07493823425603792,0.5277777777777778,0.4,0.4161849710982659,0.25,0.0,0.0
